Entity,JavadocPackage,NewlineAtEndOfFile,Translation,FileLength,FileTabCharacter,RegexpSingleline,JavadocMethod,JavadocType,JavadocVariable,JavadocStyle,ConstantName,LocalFinalVariableName,LocalVariableName,MemberName,MethodName,PackageName,ParameterName,StaticVariableName,TypeName,AvoidStarImport,IllegalImport,RedundantImport,UnusedImports,LineLength,MethodLength,ParameterNumber,EmptyForIteratorPad,GenericWhitespace,MethodParamPad,NoWhitespaceAfter,NoWhitespaceBefore,OperatorWrap,ParenPad,TypecastParenPad,WhitespaceAfter,WhitespaceAround,ModifierOrder,RedundantModifier,AvoidNestedBlocks,EmptyBlock,LeftCurly,NeedBraces,RightCurly,AvoidInlineConditionals,EmptyStatement,EqualsHashCode,HiddenField,IllegalInstantiation,InnerAssignment,MagicNumber,MissingSwitchDefault,SimplifyBooleanExpression,SimplifyBooleanReturn,DesignFOrExtension,FinalClass,HideUtilityClassConstructor,InterfaceIsType,VisibilityModifier,ArrayTypeStyle,FinalParameters,TodoComment,UpperEll
project/cache-jbosscache2/src/main/java/org/hibernate/cache/jbc2/util/CacheHelper.java,0,0,0,0,0,30,21,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,22,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,6,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,62,0,0
project/cache-jbosscache2/src/main/java/org/hibernate/cache/jbc2/util/DataVersionAdapter.java,0,0,0,0,0,10,6,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0
project/cache-jbosscache2/src/main/java/org/hibernate/cache/jbc2/util/NonLockingDataVersion.java,1,0,0,0,0,1,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
project/cache-jbosscache2/src/test/java/org/hibernate/test/cache/jbc2/functional/util/TestJBossCacheRegionFactory.java,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
project/cache-jbosscache/src/main/java/org/hibernate/cache/OptimisticTreeCache.java,1,0,0,0,1,0,28,1,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,136,2,0,1,0,0,0,0,0,0,14,3,0,0,7,0,0,2,0,0,0,0,0,0,0,0,0,29,0,0
project/cache-jbosscache/src/main/java/org/hibernate/cache/TreeCache.java,0,0,0,0,1,8,20,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,49,0,0,5,0,0,0,0,0,1,13,1,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,13,0,0
project/cache-oscache/src/main/java/org/hibernate/cache/OSCache.java,1,0,0,0,1,5,20,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,14,0,0
project/cache-oscache/src/main/java/org/hibernate/cache/OSCacheProvider.java,0,0,0,0,1,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,8,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
project/connection-c3p0/src/main/java/org/hibernate/connection/C3P0ConnectionProvider.java,1,0,0,0,1,0,2,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,1,0,0,0,0,4,131,4,0,0,8,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,0,0
project/connection-proxool/src/main/java/org/hibernate/connection/ProxoolConnectionProvider.java,1,0,0,0,1,2,5,0,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,67,0,0,6,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
